author age,recommended age,review
"Teen, 13 years old",age 8+,"Minecraft is a sandbox game where there are settings that can be whatever you'd like such as peaceful mode or hardcore mode if you're daring enough there is also creative and survival, creative is you where you can fly and not have any problem looking for food or worry about your health which means you have god-like powers where you can just go in your inventory to choose what you want. You can make a GIANT mansion or pixel art with types of materials (Such as coloured wool or bricks). I recommend it a 10/10."
"Teen, 13 years old",age 2+,"I can not stress this enough! I absolutely LOVE this game! This game is an AwSoME time passer with many different features. It does cost money though. But it is 100% worth it. If you want a fun game, this is the one!!!"
"Kid, 12 years old",age 5+,"Right, I started playing this at about seven years old. I really enjoyed it then. For the parents that say “It’s to violent.” for their kid, remember that they are pixelated characters with no gore. In the game, you can type signs or in the chat. The chat/signs disable any signs of cussing. If your child likes to play in the online areas such as murder mystery, I recommend 7-8+ because you can chat with strangers. If allowing your kid to do this, then I recommend talking to them about “chat” before allowing them to play."
"Teen, 13 years old",age 2+,It's an amazing game that builds upon your imagination and creativity. Every kid that wants to should play it.
"Teen, 15 years old",age 7+,"I thoroughly enjoyed this game. Due to the infinite possibilities, the game can provide endless fun.
This game can develop a growing mind by increasing creativity, encouraging teamwork, and developing strategic thinking.
The violence in this game isn't as bad as other games due to it being unrealistic. When you kill a player, an animal, or monster in the game, they fall their side for one second then they disappear. The weapons in this game are swords, bows, crossbows, TNT, and a fireball. There are others, but they are rarely used.
In the online aspect, I would say 95% of servers are safe for kids. And if you're concerned about privacy, settings can be adjusted in your Microsoft/Xbox family settings page to your liking."
"Kid, 9 years old",age 8+,"I love minecraft, it is educational and is also really really fun, Highly recommend this app!"
"Teen, 14 years old",age 7+,"Minecraft is just an amazing game! There are endless- truly endless possibilities. I think this is so inspiring, and this is the best out of all the sandbox games I've played. It is so diverse, you can do so much with it. And you can adjust the settings to any of your desires! There isn't really any violence because as a world of blocks, it doesn't connect to real life in such a way. And the animations of damaging an animal or something are completely child friendly, so please don't worry parents. This game is definitely not harmful to children, and if you have concerns, take care of it yourself. Such as, don't give them a Bedrock account if you don't want them online with strangers - teach your kids responsibility so they don't go doing something they shouldn't be doing. Aside from that, my review for Minecraft is five stars out of five."
"Kid, 8 years old",age 8+,"Great game! Minecraft is very creative and fun! Although players can kill animals and get attacked by other players or monsters, with it's blocky graphics it is not violent. It is very versatile with it's options and has great educational values. Players can play online or offline."
"Kid, 10 years old",age 5+,Look UP
"Teen, 13 years old",age 6+,"I've been playing this game since i was 6 years old, the whole fandom is amazing, there are parodies to songs, different and unique skins, servers, mods and so much more (most of those are mainly on PC) You can play the game in many different ways like creative, survival, adventure. This game has been a huge part of my life for ages and i strongly recommend, boosts creativity and teaches about stuff too, like minerals, rocks, how to make glass, you can use this game in real life! I love this game."
"Kid, 10 years old",age 6+,"Minecraft is great to play!!! The only two problems for age is the first being violence, but there is no blood or gore, and it's perfectly fine for 6 and up. The other one being consumerism. But kids can live without it, so it's okay."
"Kid, 8 years old",age 7+,"Good for older kids, some violence (no gore) and building"
"Kid, 12 years old",age 4+,"If your kids enjoy creating or designing things, this game is for them! So many things to do and create! The game also gets updates to make the experience that much more fun. Definitely worth the money!"
"Kid, 9 years old",age 7+,"Great game! There is a little violence in the game though. But it is mild. If you mind, try putting the mode to peaceful mode so the only violence is like killing a pig for eating. Overall, a good game."
"Teen, 17 years old",age 8+,Good good good
"Kid, 12 years old",age 7+,Fun endless gameplay no blood or gore when fighting and can be educational in creative mode.
"Kid, 8 years old",age 7+,"Finally, build whatever you want. The reason I gave it three stars is the blocky graphics and the fact it is a rip-off of Roblox, it also gets boring sometimes. Mild Violence: People have to defeat monsters in the game, no gore is seen."
"Teen, 13 years old",age 4+,
"Teen, 13 years old",age 8+,Very good game encourages creativity and ease of play
"Kid, 12 years old",age 2+,"I played this for ages, and to be honest it's a brilliant game.
Very little violence (no gore, you just get hit and when something dies, it can drop stuff)
It's extremely easy to play and gives you no instructions, as the whole point is to leave you to do whatever you want."
"Kid, 10 years old",age 5+,"the developers are so slack 'pixels are easier to code' well we want high quality not easy, roblox is better"
"Kid, 10 years old",age 7+,I really like Minecraft. That’s all I have to say. :)
"Kid, 11 years old",age 5+,"I’ve had Minecraft for over 5 years and I’ve created some amazing builds, it really brings out your creativity! About 2 years ago I made an account to play online, and I haven’t seen any swearing and/or inappropriate conversations in the chat in all the time I’ve played. People are very nice and love helping eachother out to make incredible builds, and they all share and team up to get things done faster. A really good way to teach teamwork and creativity. Recently my 5 year old brother got Minecraft and knew exactly how to play all from watching Minecraft YouTubers like DanTDM, Grian, and more. He even made an account with my help! He now plays online with me all the time, and we build together. Plus, even if he sees some rare swearing in the chat, he won’t understand it. There is NO violence whatsoever, NO blood whatsoever, and EVERYTHING is blocks. Way better than Pixel Gun 3D or something. Yes, you kill animals and monsters, but all you do is hit them and they dissapear into XP. My little brother never has had nightmares about killing the monsters and animals. He even try’s to kill me in game and doesn’t think much of it! Perfectly fine game. Kids of any age can play it, as long as they know how to walk! It’s a bit hard to learn the controls, but if my little bro did, you can as well."
"Kid, 10 years old",age 7+,Fun and creative game that most people can easily enjoy. A bit of violence but nothing too bad.
"Kid, 12 years old",age 5+,Pocket Edition has been upgraded. 1.16 there is violence but so mild that you can do PVP and not have nightmares for years (Take that Karen’s) I’ve played for years. Killing animals is necessary for survival. Creative you can but burning down villages and slaughtering villagers is a bit too far (I’ve done it myself) But the violence is VERY minimal so it should be good!
"Kid, 9 years old",age 6+,Awesome game good for building.
"Kid, 11 years old",age 10+,
"Kid, 8 years old",age 7+,Minecraft is a bit boring. All you do is chop down tress destroy creepers build your house find useful materials repeat.
"Teen, 13 years old",age 13+,
"Kid, 10 years old",age 6+,Minecraft is an awesome app which kids of pretty much any age can build whatever comes to mind. 10.00 $ Canadian dollars is a great price for ranging materials from wood to stone to diamonds to concrete to carpets and many more. Kids can learn mechanics through red stone and others. Definitely worth a spot of storage.
"Teen, 14 years old",age 4+,"Great for kids of (almost) all ages. It has violence, but no blood, gore, or anything like that. Great for kids. It can be difficult sometimes. People also need to know that not just survival mode can connect online. Creative can do the same. If you want to play single player, press the online button off."
"Kid, 10 years old",age 9+,"life lessons
don't wast you're diamonds on a hoe -notch12;12
don't let ""creepers"" near your house - creepers-45;12
don't fight with a 6'4 tall black dude -enderman 79:1
life is as hard as you choose it -creative 6:9"
"Teen, 13 years old",age 7+,"the game is great, you can use your imagination and build pretty much whatever you want just, it is sometimes a little laggy and glitchy. and why do you have to buy mine coins? like why can`t you earn them in some way? and i wish when you buy addons it didn`t make the game lag terribly. and some times, when i visit my friends, the game kicks me out of the server for no reason. but overall, the game is OK ;)"
"Teen, 13 years old",age 6+,"Just because minecraft involves killing animals, doesn't mean it is bad. You kill these animals to survive."
"Teen, 13 years old",age 18+,HE KEPS MAKING VIDEOS ABOUT THIS WEBSITE AND GAME INCLUDING HIS DUMB STUPID MINECRFTPT LIFE SUNG BECUASE OF COLD MIOL; ILL NEVER PLAY THIS HGAME AGAINNK!!!!!!!!!
"Teen, 13 years old",age 5+,"Minecraft allows your kids to explore an amazing cubic world. If you worry about monsters that spawn in the night, play on peaceful. only cows and other friendly ""mobs"" will spawn around you in the peacful game mode.
If you choose creative, you will have all of the items to your disposal, which lets you make whatever you want! (with some exeptions)
The use of education edtion allows the building of periodic elements using science. You can also get modifications which change the way you play the game, such as making chickens giant. More recently, a shop has been made where you can buy ""minecoins"" (the in-game currency) with real life money and spend them on cosmetic items and maps/skin packs."
"Teen, 13 years old",age 10+,This game is great to develop and great whatever you can imagine I play it for many years and I love it I consider it to everyone there is no age limit to play this game and is one of the most popular games in world some people including my self we call it a LEGENDARY game we all gonna remember. ( one of the best games world has)
"Teen, 17 years old",age 6+,Very nice game its really fun and unlimited stuff. no more words
"Kid, 11 years old",age 9+,This game allows you to be creative and have fun. You can either play survival or creative and make many coded things.
"Kid, 11 years old",age 7+,"This game is really cool. You can build stuff and fight monsters, plus you can play with your friends."
"Teen, 13 years old",age 3+,really good for building exploring and playing with friends
"Kid, 10 years old",age 2+,This is a great game it has some things that are a little bad for really young kids but only if you go to the nether which is basically heck
"Kid, 11 years old",age 6+,"In Minecraft you can do almost anything. I'm not kidding. You can build a city or a castle or a house or a garden or a statue or explore the seas or fight monsters or find hidden treasure or whatever you want. It's easy to learn, and when things die, they just disappear in a puff of smoke. There are two different modes, creative and survival. In creative, you are immortal, have infinite resources, can control weather and time, and can fly. In survival, you must survive monster attacks (not scary and look like blocks), find food (farm wheat, carrots, potatoes, hunt pigs, cows, chickens, steal bread from villages), and find materials to build pickaxes and swords. I think it boosts creativity, is not too violent or scary, and is great fun!"
"Kid, 8 years old",age 4+,you build survive i love creative(creative is pretty much UNLIMITED BUILD MODE!!) i play on a tablet absolutely love its worth paying for $6($5.99) if you have a 4 year old or higher if they can work a tablet/ipad/computer they can play. oh and they can also learn how to make contraptions with redstone/pistons/sticky pistons/redstone lamps/lever/buttons/pressure plates/block of redstone/dispenser/redstone torch theres just alot of things i may or may not of included them all im not sure. you gotta play. bye! :-)
"Kid, 9 years old",age 6+,I think it is a great game. when you get it for a small child ( 5-7 ) put it on creative or they might have nightmares about the monsters and all the killing and stuff. I think you should get it for you kid or maybe you.
"Kid, 11 years old",age 2+,"This game is not violent, it’s perfect for little kids"
"Kid, 12 years old",age 5+,"THIS IS THE MOST BEST GAME EVER!!! This is the best game for kids , teens and adults . This increases a child creativity and this is fun with friends. but be careful with online servers ."
"Kid, 11 years old",age 6+,"Minecraft is really great, and it doesn't have very much violence at all. The only violent thing is that you can kill things. However, there isn't any blood, the dead thing just disappears in a puff of smoke and sometimes it leaves things behind that you can eat or use. It's not true that just because you can die and make swords Minecraft is violent. It's really cool, and it lets you be creative! Minecraft is amazing and wonderful, and I will tell Brokenstar to come out of the Dark Forest and attack anyone who says differently!"
"Kid, 7 years old",age 8+,"Minecraft is a kid-friendly game which is suitable for most children. Mild content I would say, about a TV-Y7-FV rating."
"Kid, 10 years old",age 7+,"This game is awesome! It has two modes:
Creative mode and survival mode. In creative mode you can get blocks and build cool stuff you can also invite friends to play with you but ONLY your friends which is good. In survival mode you have to mine for blocks, craft weapons, beds and build houses you can also invite your friends. There are'monsters' in both modes. In creative mode they can't do anything. In survival mode they can damage your in game health. But you can kill them in both modes. Once you kill them they just disappear in a puff of smoke. There is no blood. Plus the 'monsters look cartoon-y'. There is one more thing you can do. This is play on a server which is online with random people. Luckily there is no chat on servers. On servers you can play minigames. I think it's for kids age seven and up."
"Teen, 16 years old",age 5+,"To be honest, all the parents are being dramatic about the violence in this game, i’ve had this game for YEARS and the most violent thing is the animals turn red when you hit them. I mean, seriously?! I’m about 16 and I’ve had scene I was 6. There a swords in this game, yes, but there aren’t knives or guns, or smoking. SOMEBODY SAID: I BOUT THIS TO EARLY FOR MY 7 YEAR OLD SON, ONLY GET THIS FOR YOUR 8+ CHILDREN. Are you kidding me!?! CHECK THE AGE LIMIT DWEEB!!"
"Kid, 12 years old",age 10+,When I was 10 me and my friend had nightmares about Herobrine existing in Minecraft. We had to take a break for a while. Minecraft was also a waste of money beacause I couldn’t use multiplayer after paying lots of money for the game.
"Teen, 13 years old",age 2+,"Yeah minecraft has violence but its nothing terrible, you hit things, no blood, no gore, they just fall to the ground, turn red, and disappear. You can express creativity and imagination and all that stuff, but also have fun with friends and the great server community. If you are worried about your kid experiencing bad Language then turn of the chat in setting or go on the server press the chat button and then type a curse word and if it doesn't go in chat, or makes it hashtags you good ."
"Kid, 12 years old",age 6+,"Minecraft has a good reputation, and I totally agree. It is suitable for any age because of creative mode where you could make anything, and survival mode where you have health, hunger, can’t fly, and must collect your own items to build. Kids under 6 should first be taught about the subject of death, because creatures and the player can die. However, there is no blood or gore and they just turn in to a puff of smoke."
"Kid, 12 years old",age 5+,"I love it! It's fun, creative, kid-friendly and safe. If you play online, still safe-unlike games like roblox with bad moderation (e.g no result when reporting someone)-and it isn't violent or inappropriate. It allows you to create your own world, by yourself or with friends. Trust me, 100% kid-friendly and safe, You can't go wrong with minecraft! Also, whatever parent raised concerns about minecraft, you got it completely wrong. Not me nor anyone else I know has had a dodgy experience with this game. I LOVE IT!!!"
"Kid, 11 years old",age 5+,
"Teen, 15 years old",age 10+,"So, I started playing Minecraft when I was about 4 or 5. I don't remember it clearly but I was playing creative mode and making really crappy houses, and then my computer stopped working and now I have a new one. My brother made me get it on February 2020
but I don't know the date. I played it so much and got addicted to it. It was so addicting I wanted to see what other people were up to. So my brother gave me a link to a website with server IP addresses. So, I did the thing that everybody does when they see a public server they want to join; join it. There were a lot of people saying the F word and the S word. I felt very uncomfortable and left. I then joined another server and I saw somebody with a skin that had no clothes on. I left that one too, of course. So, my point of view is that be careful what servers you join. There can be people swearing and being inappropriate.
This is my longest review ever,
Amee"
"Teen, 16 years old",age 5+,
"Teen, 17 years old",age 11+,"Dgsudi
Stwysj"
"Teen, 13 years old",age 18+,the game now has nasty content.
"Teen, 13 years old",age 7+,"This game is the peak of mobile gaming. A game where you can build anything and your only limit is your imagination. You can start in Survival Mode where you start with nothing and build your shelter and fend off monsters. (They are not too scary) Or, you can start in Creative Mode where you have unlimited resources and you can fly, so you can build anything. There are dozens of online servers you can play on with real players. Or, you can just play the game with a few of your friends. This clever game is the best mobile game ever created and it has stood for almost a decade."
"Teen, 14 years old",age 9+,"I paid for the game and then when a year passed it told me to buy it again.
WTH?!
ARE YOU TRYING TO STEAL MY RICHES?!"
"Teen, 17 years old",age 4+,Good game where you do stuff
"Kid, 12 years old",age 4+,Minecraft is a amazing app that makes it super fun to build with your friends.
"Kid, 12 years old",age 2+,"Barely violent, you hit things with a sword and your screen go red when you die."
"Kid, 10 years old",age 2+,"This is such a creative game with a lot of blocks your child can play with. If you think there is ""violence"", you just hit mobs with a sword. Worth your money!!"
"Kid, 12 years old",age 3+,"This game is easy to use and play, although multiplayer is a concern for parents, parents need to quit focusing on the killings of animals and bosses. They also need to just get used to it, although some things are religious or whatever. (Note to parents: This is a game which you survive or build in, based on which mode you select). But kids need to learn when they are adults or want to hunt seasonally or make their own farm for food in real life, you have to kill animals for food. Or if you're vegan, there are vegetables and fruit in the game to eat, like potatoes and apples. Also, quit ranting on the Nether (Even though I'm Christian, I play in the Nether, which is based off of H E Double hockey sticks) I know people get the wrong ideas of the End dimension and you kill humanoid creatures called ""Enderman""
But it's a FICTIONAL game, it shouldn't affect your life. It really shouldn't. If you are a tree advocate or a animal advocate (Like stupid PETA) and your children like this game, dont tell them ""Hey, I'm deleting Minecraft because there is animal violence and you kill things and other players, and that trees are important to the world"" ITS FICTION!!!! Just leave them alone and just give your kids a life to enjoy, if they don't believe killing animals for meat should be banned or cutting trees down should be banned in Minecraft, then it's fine. Just leave your children playing this game without a Wifi connection and this game should be enjoyable."
"Teen, 13 years old",age 9+,"Hi
Minecraft is a fun sandbox game where you can build, survive and play online with other players. There are two modes, survival and creative. In survival mode, you have to gain resources and food by destroying blocks and punching animals until they die. As grim as it sounds, it really isn’t. The only violence is hitting a monster or an animal or sometimes another player and when hit they turn red and take damage. In survival mode you can die. In creative mode, you have unlimited resources and can do or build whatever you want. If you do not wish to play with other people you can always turn it off in settings. There are servers as well where you can play online with others. Don’t be concerned about your kid talking to other people as people don’t really talk on the servers I have been on as they prefer playing the game. Minecraft can be used to teach kids about various things. Minecraft is an endless game with endless possibilities. There are no ways to finish the game but there are objectives to complete if you wish. Also, please parents, limit the time the kid can play games as Minecraft is addictive. There is also “Marketplace” where you can buy skins or maps to play on. You need Minecoins which cost real life money. Apart from that there is no other in game spending.
Thanks"
"Teen, 13 years old",age 18+,"In this game the goal is to murder children. It is horrific, Violence, Sex, Gore. If you want your child to end up in a mental hospital, buy this game."
"Kid, 11 years old",age 2+,Minecraft is super duper fun you should download this right now! :D
"Kid, 11 years old",age 2+,"After reading parent reviews saying survival can connect to other worlds (wrong there is a multiplayer section dedicated to that) I can now officially say half of my brain cells are gone. In the game you are a block man in block land and you must kill animals for food, get wood for a house, and fight off mobs who want to eat your brains,
With exeption for the creeper he just wants to ruin your life. You have to go and talk to village men sometimes and they trade with you but just like real capitalism you always lose. Sometimes you can kind and you can also craft, this is fun and also building is fun."
"Kid, 11 years old",age 4+,"Minecraft is a blender of possiblities, with a little time and energy, you're imagination has come true, dream house, town (i even built a town with buildings that my classmates and friends wanted)
Conquer the over world? Go for it!
Want a city named after you? C'mon letz do it!
Minecraft is a blender of possibilities!"
"Kid, 9 years old",age 7+,Minecraft can be a little ruff when it comes to survival mode. And sometime playing online is bad when other people that swear.
"Kid, 10 years old",age 2+,"Minecraft is an amazing game, and is always adapting so much. If parents (or kids) are unhappy with the actions of servers, there are always ones to play that are intensely monitored, feature ways to report, and don’t allow chat. Minecraft does weekly updates to fix bugs or any errors players encounter. I also love the new customizable skin feature, and am very happy with my skin’s look. Another feature that pleases me is the XBOX, or multiplayer feature. Me and my sister love playing together, and for the multiplayer to be a free, it’s just wonderful. It works great only my iPad and it really makes me happy. I 100% recommended this game."
"Kid, 10 years old",age 2+,"It's really good and appropriate for all ages! you may be worried about playing multiplayer, there's something called a christian minecraft server where it's a server with no swearing. plus, you don't have to go on a server. you can just invite people you friend and you can only friend someone if you know their username, so friending random people won't be a problem. or you can just play singleplayer! also you can turn on an educational mode if you want, and it subtly teaches kids about geometry and stuff like that! i highly suggest you get it! i honestly don't get why ERSB rated it E10+."
"Kid, 10 years old",age 7+,"All the parent's who say it is bad are FULL of baloney they are lying 1# THERE IS NO BLOOD 2# In creative mode you can use your creativity
and that is it! (I think)"
"Teen, 13 years old",age 2+,Guys and parents reading this i don't warn u anything but just let your kid have freedom.
"Kid, 10 years old",age 5+,"This game is really good! However, in Some Minecraft servers, things can get a bit out of hand, as players can start swearing, but that can be easily fixed with a chat-bot. Other than that, it's pretty easy to use!"
"Kid, 9 years old",age 8+,
"Teen, 13 years old",age 7+,Absolutely awesome and creative
"Teen, 13 years old",age 5+,"I adore playing! It's so fun taming all the wolves and having them follow you around as you pet them and give them affection. I actually have my own world with over 80,000 wolves ;)) I also have the same thing for parrots!! Its very fun and educational. I even build houses and learn different textures and colors. All you over protective and weird parents need to understand you simply just hit something like a chicken to kill it for meat. Smh lmao. It doesn't even show blood so you crazy parents need to stop over reacting. Jesus, calm down"
"Kid, 10 years old",age 7+,"Well I started to play Minecraft on my phone at 2015. The only thing that ripped me off was the price tag of $6.99. But it was amazing and cool new updates. It may contain violence and fear, but still a worthy spin-off."
"Kid, 11 years old",age 3+,"It is educational, fun, and safe! The servers tend to add inappropriate stuff. I mostly like to play in the hive or the Mineplex."
"Kid, 10 years old",age 9+,"Minecraft is LITERALLY age 9 and up!why are people saying stuff like:this should be rated M for mature when it is RATED E FOR EVERYONE!its dumb! Who are these people on common sense media with NO COMMON SENSE???!!!but anyway,I’d recommend this game for your children if you want them to keep being the awesome kids They are.i mean,this is Minecraft.you can build ANYTHING you can imagine!!this is the PERFECT game for you’re children."
"Teen, 14 years old",age 7+,"I have been playing this game since 2013. Minecraft helped me get over arachnophobia. The reason I am giving this three stars is because of the toxic people. If there were no toxic people, then it would be a five star. I am only basing this off of the bedrock and xbox 360 versions of the game."
"Teen, 17 years old",age 11+,It keeps jumpscaring me with the creepy sound
"Teen, 13 years old",age 4+,"The whole game is SFW! There is literally no gore, no violence, only the mobs that attack you at night, but they don't even have blood, and your screen only shakes a bit when you get attacked. You can customize your kids' settings so that they can't even play multiplayer so they're one hundo percent safe! Please, if you're a parent of a &lt;13 child, setup safety permissions so that your kids can not see vulgar language! Even if your kid is on multiplayer, swear words get hashed out! (That's for Bedrock Edition)
Java Edition is relatively the same as Bedrock, 'cept you get a free bedrock edition code when you buy java, incase you want to see what win10 edition feels like.
In Java Edition, swear words don't get filtered out, but you can easily see if your child is on any server, and, if you think they might be hiding something, check the realms page, check the direct connect button. It's nearly the same as bedrock! Oh and, you can even put in mods for your child to enjoy minecraft java even more!"
"Kid, 11 years old",age 6+,"The grass blocks scare me.
I am kept up at night knowing that physics don't exist in Minecraft (besides the sand and gravel)
My dog (in-game) died in Minecraft the same day I made got a diamond.
THE GRASS BLOCKS ARE SO SCARY OLS NO PLAY PLEASE
GRASS BLOCKS ARE SCARRY I'M NOT LYING DON'T PLAY MC PLS
I WAS KILLED BY TNT
I HAD A GRASS BLOCK IN MY INVENTORY AND I COULDN'T SLEEP FOR TWO WEEKS
THE GRASS BLOCKS ARE SO SCARY
THEY LOOK LIKE GRASS I HATE IT
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
Minecraft needs to make it so that I can have no textures
My friend told me that dirt blocks are the same as grass
I am never going outside my wooden Minecraft house ever again."
"Kid, 11 years old",age 6+,"I have played minecraft for like, 5 years now? And I am in love with it. The game is fun and entertaining and has updates where there is always something new to explore, or get. I've read some reviews and people talking about the game and I am suprised to see people who have not even played the game once call the game ""racist"" and ""not for vegans"" because it's just really stupid. In minecraft, you can make a farm and grow crops, you don't need to kill animals. And the game is not racist just because the enderman is black. I'm not gonna say anything about it, just stupid. Only thing you should worry about is going into servers cause people could bypass the very simple swearing filter. Other than that, the game is great and has an AMAZING soundtrack."
"Teen, 13 years old",age 4+,"Minecraft is an amazing game and I have never been scared of it for longer than ten seconds at a time. The only reason I was scared in the first place was because I was in a cave and a bat flew out of nowhere.
My 6 year old cousin has been playing this game since she was 4 and she loves it. She of course needed help at first, but once she understood she started having fun in creative and now she plays in survival all the time.
The game isn't as violent as some people make it out to be, you just take something (Most commonly your sword) and hit a mob with it, and the mob momentarily turns red and looses health. You continue to do this until the animal disappears, leaving a puff of smoke and (Usually) some items that it dropped upon death."
"Teen, 13 years old",age 6+,"It's very interesting game, with a lot of creativity! The monsters don't make you have nightmares cause all you need to do is hit them (and there's not even blood!).
-------------------------------------------------------------
SURVIVAL:
You need to survive within 4 modes: Peaceful,Easy,Medium,Difficult. Each mode is more difficult than the other. You have falling damage.
-------------------------------------------------------------
CREATIVE:
Your imagination can be real in this mode! You can craft and build everything you want! You never die.
-------------------------------------------------------------
ADVENTURE:
Like survival but you can't break blocks.
-------------------------------------------------------------
A small detail: Most servers now have a new feature which don't let other player say bad words (or see bad words in the chat). That means there is not swearing at all!
That's all! I think I helped you!"
"Kid, 11 years old",age 5+,"I am an 11 year old. I enjoy playing Minecraft. I will list a few things about Minecraft.
What is Minecraft?
Minecraft is a very popular game which is made of blocks. You can mine, kill enemy mobs, craft stuff, build anything you desire, and much more! There are a truck load of blocks you can use. There are also countless mobs in the game like the endermite, silverfish, bee, zombies, skeletons, spiders, creepers (they sneak up behind you and explode) enderman, wither, and ender dragon! There are way more mobs than this. There is SOME violence by mobs trying to kill you, you killing mobs, there are swords and bows. There are three game modes.
Survival
In this gamemode you have to survive, craft, mine, defend yourself from mobs, and go on cool adventures! There are options to change the difficultys which are easy, normal, hard, and peaceful.
Creative
You can fly, get blocks easily by pressing E (for pc) and looking for the block you desired. You can break anything instantly. Mobs cant hurt you. You can only die in creative by falling into the void (by breaking the bedrock layer)
Hardcore
Kind of similar to survival, but you can only live one time amd the difficulty is locked on hard.
Other Notes
The grind can get boring but don't worry! There are new and cool updates to spice up the gameplay!
Now what age would I recommend? If your child knows what goes on in Minecraft then you can let them play. I'd say 5 or 6.
End
This is the end of the review. I hope this made you atleast think about getting this game.
I think this is one of the best ganes if not the best."
"Kid, 11 years old",age 6+,"This game is fun at first, but after a while it could get boring just putting blocks down and killing animals. Sure, there is a creative mode, but there is really no objective. In other words, minecraft SUCK!!!"
"Kid, 10 years old",age 6+,"I've been playing Minecraft since I was in Kindergarten (6 years old) and at that time, you didn't have Xbox accounts, but a year later, they added Xbox accounts, but I think it's a good game to play overall."
"Teen, 16 years old",age 10+,be careful of what mods are downloaded they can contain anything from relastic bleeding/wounds to sex animations and to mods that do nothing but a desigend for people to buy to get money
"Teen, 16 years old",age 6+,I bought a in game pack and it didn't work. I emailed the creators and they said to bad.
"Kid, 10 years old",age 2+,"Very creative, very fun, very cool.
However, if your child is age 4 and lower, I'd supervise them on servers as servers could have privacy concerns and name calling etc"
"Kid, 9 years old",age 8+,"Very good game!
Controls to walking: AWSD"
"Teen, 17 years old",age 7+,"Minecraft is an amazing game for me. Sure, there are creatures that plan to eliminate you at night, but that just teaches your kids that you have to survive. It teaches them to be brave. The moderators do an AMAZING job to stop bad things from happening. This game teaches kids to be creative, and that they can do anything they want, and that they can make anything they want. I'm not a parent, I'm a 17-year old teen, but i noticed that this amazing game has encouraged kids to be creative, even though I don't play it myself. But I have tips for you again.
1. Don't talk to strangers, or don't chat at all.
Sure, your kids can talk to their friends, or cousins/family members who play the game, but don't let them talk to strangers. But if you want to protect your child, don't let them chat.
2. Teach them what's wrong and right.
Toxic people, toxic people. Sad to say it, but they exist, and they can do bad things through hacking, so that the moderators won't stop them. If your child sees something inappropriate, then why not teach them what's wrong and what's right before playing?
Keep in mind that this is just my opinion, and of course, you may have a different one, and that's totally fine with me."
"Kid, 11 years old",age 7+,"It is an overall good game which inspires creativity.
It has little violence as it only happens when you punch something
The game controls can be a little tricky but with the help of an adult you could manage playing at maybe 5 or 6"
"Kid, 11 years old",age 5+,I got this game when I was 5. It took around a month to get the hang of it but I love it and I still do! There’s many learning opportunities for children! There is a way to play multiplayer but you can turn it off.
"Kid, 7 years old",age 6+,"I think you should be more than a little kid like 5,4,3,2, and 1"
"Kid, 8 years old",age 6+,"So, I ain’t good at this. I only played it once, but, downloading it? Family agreed. 4+ ratings? I agree too. Nothing like hacking or sex, or violence. My mom, which is really bad at saying games are appropriate, even agrees. It’s kinda educational, building a house, building rivers pools, mining, etc. No one out of my family and my friend’s family even minds the price anymore! So I would say, great game."
"Teen, 15 years old",age 10+,"Minecraft is a game for kids around age 10-15. It's a good game, but can be better. It's very much fun at the beginning, but when you have it for a while it will get boring. The pets you can have are boring to. You can't do any more than just walk/fly around a world and build some things. It wil make kids addicted and theres much violence in it. Why? Because you can kill people and animals and monsters. It can make you scared."
"Teen, 16 years old",age 7+,"Creative mode lets kids with creative minds to build anything with hundreds of different block types. There is survival mode where you need to gather resources and food and kill bosses. THERE IS VIOLENCE BUT VERY VERY MILD. There is no guns, there is swords and bow, and mobs/players just get hurt with no blood."
"Kid, 10 years old",age 2+,"Minecraft is an amazing game about being creative and learning to strategize.
To parents that haven’t heard of Minecraft, it’s really fun to play and easy to use and gives your child the ability to do what they want and build things they want to build. Imagine being placed into a world of blocks and nothing else, surrounded by different biomes and many opportunities with no limits on what they can do, that’s Minecraft doing what does. Yes you do have to kill animals for food but there are alternative ways and it’s just an overall fun game for kids and adults alike."
"Kid, 9 years old",age 7+,"This is by far the best video game ever! It's more realistic than Hugs &amp; Hearts, but less violent than Call of duty or stupid old Fortnite. If you don't like this you are a Smoothbrain!"
"Kid, 10 years old",age 4+,"This game is very fun and a great way for children to get creative and have fun with friends while still keeping it 4+. I would recommend this game to everyone. Yes there is violence, but no blood."
"Teen, 13 years old",age 8+,Its a good game
"Kid, 10 years old",age 8+,"Minecraft is an educational game. It commonly is ignored and thought to be a violent game. The thing is, it's not. It does not have any REAL violence and by real I mean like major violence. Minecraft is good for kids."
