"selection1_name","selection1_selection2","selection1_selection3"
"age 15+","We have had Roblox for the summer of 2020 since May. We and our friends have had mostly trouble.
My child is educated on internet safety and she has reported many things to me as she and her friends come across it. I’ve also witnessed various con’s and pro’s.
One of the main issues is with the company and it's handling of those who violate their guidelines/rules. There are many groups that openly bully and admit it yet still are in the games and play often. There are hackers and scammers too that can stay and are only banned from certain games.
The game does an ok job of concealing bad language with hashtags over the offensive words however there are ways to get around this.
You must do a few housekeeping tasks to ensure you are safe from not only certain players but the company itself.
Make sure your children have some education on internet safety.
Make sure you READ all the policies there are many and several circle around to the companies benefit with no recourse but appeal which is usually denied. They stick to the policies with no exceptions. This is good but the individual situations are not reviewed beyond the complaint and the company text.
I've witnessed several bullying situations with my child, her friends and others in the game. There have been comments and actions that are not appropriate for kids at all.
Keep an eye on which games you enter as well. There are some instances of being taken to a private room for in appropriate behavior.
Supervise your children at first and guide them to the safer games (servers). Many are private and are governed by those who create them.
There are Robux which kids need to get certain things and are often encouraged to buy. You pay a certain amount of money to receive Robux. Kids can earn game money when they do certain tasks or when a pretend check pops up and they click on it. This will only “buy” certain things. For the bigger or more prized items like potions and certain clothes, pets, transportation etc. You must use a credit card to purchase Robux.
My general advice is that the games are more suited toward teens and older. If you have a younger child on be sure to supervise them and watch what they are doing. Be sure they are learning the right things.","Adult"
"age 9+","","Adult"
"age 8+","ROBLOX is a very good game, if you love customizing introduce yourself to meepcity, its basically a game where you can look like your fav cartoon, fav monster,killer, and cryptid, or if you like fighting, introduce yourself to mortem matallum and dont listen to horrible reviews and when you play, make sure your supervised (if your a child) and enjoy!","Adult"
"age 9+","i feel like my kids should be having fun there really smart but they still should play Roblox ive played with me my kids and without","Adult"
"age 6+","I recommend Adopt Me, MeepCity, and Speed Run 4. My child loves Adopt Me a lot!","Adult"
"age 2+","its good but theres oder people who rp to have sex","Adult"
"age 9+","I think Roblox is a great game for kids. My kids love it! It's a little addicting and has a slight bit of language but the way you set up the account changes things. I think if are looking for a game for kids, consider Roblox.","Adult"
"age 11+","Fun","Adult"
"age 18+","Although the game may be appropriate for some children, my son who is 9 was just playing this and WAP by Cardi B was playing in the game! I highly recommend you look up the lyrics to this song. No thanks. Roblox is going bye-bye.","Adult"
"age 2+","let your child play all they want its not like they can really get exposed to sexual content or highly violent content","Adult"
"age 18+","I got this game for my 6 year old son and he loved it. I thought it was good and I wanted to see what he was doing that he loved so that way I could have future ideas. So while he was in bed sleeping, I logged into his account to see his history. But guess what? HE WAS PLAYING INNAPROPRIATE GAMES!!! I played some and couldn't believe my eyes. One of the games was called 'Have a nice day!' And when i joined there was music playing that said things like ""i fucked her so hard her pussy started bleeding"", hentai on the walls, and people bypassing the chat filter and saying ""i want to 45ck your pu see so hard. You are such a furry suck my huge p p"" and NSFW like that.
I checked his chat history and it turns out that he was Online Dating. I grounded him for a month, took his computer away and stored it in a closet to never be his again.","Adult"
"age 18+","This game is bad for kids because people can have sex. My 12 year old daughter, Genevieve was caught online dating in 2017 and i was pissed off. Delete this game","Adult"
"age 18+","This game has illegal drugs and guns and blood","Adult"
"age 18+","Blood in every game, you can rip off people’s heads and eat their body parts","Adult"
"age 3+","The game is great and even the user created games are monitored 24/7","Adult"
"age 18+","OMG!!!111the game such of innapronriate not cool for the kids.!!11. My sun played the rlovx game not cooL~!!","Adult"
"age 7+","Today I experienced a ""error"" of the friend chat. I was talking to my friend when it kept saying 'error"" under it. I got very annoyed. But overall it is a good and sociable game.","Adult"
"age 18+","Some kids are allowed to have music boxes and they use their own custom songs from real life. Even songs with cuss words on it. Don't recommend for anyone under 18! The game isn't even that good i tried it with my kids. Only 2 games out of 100 are good.","Adult"
"age 6+","I think that it is fine for kids older than 6 years old. If there's a 6 years or younger, I can take care.","Adult"
"age 18+","While i was watching tv i saw this game appear on the news and it was called ROBLOX and i saw that they had blocky sex which shouldnt be on a kids game, this game is bad","Adult"
"age 2+","This game is amazing please play it, it’s the best.","Adult"
"age 3+","My kid loves Legos so when i saw this game i knew he would love it!
It is like a bunch of online lego games in one all for free with him learning too!
My son has always wanted to make a game and this game is teaching him LUA to make his game
This game also lets you play other peoples games!
Thairs also games that can teach your child
My child has been playing the games down below
Adopt me: a game were your child gets to build thair house and take care of thair pet
Word bomb: a game were your child has to think of a word starting with the letter given
Skatepark: not educational but he likes playing this
Theme park tycoon: a game were you learn how to manage a theme park and make rides
And much more
This game also has parental controls
If you dont feal safe with your child chating to others turn it off
This game saves me money because i dont have to buy legos or a advanced codeing software to teach him
You can even play this game with your kid","Adult"
"age 8+","Roblox is for everyone of all ages,But mostly kids 8 to 18,My kids(12 and 13) play roblox and some games have violence and some games allow you to curse (very few) But they think its fun,roblox is fun for kids and adults.","Adult"
"age 7+","Best game ever","Adult"
"age 5+","There are tons of games on roblox. Though some are inappropriate, you can use age restrictions. That is the only reason roblox asks for your age. About the rude and mean people in chat, if you are under 13 it filters out the bad words. Otherwise, you can see anything in chat.","Adult"
"age 7+","Roblox has encouraged my child to learn coding.
There security is good and they do sensor speech creating a safe environment for your child. The platform restricts the amount of friends ensuring your child will only adds users they know. Roblox is highly addictive so my only recommendation would be to keep watch of the amount of time they spend on the platform. They are involved with other content creators and promote a positive message to children. I would defiantly recommend Roblox as a learning tool for your child.","Adult"
"age 7+","The only bad thing is that most games have things that cost robux. THE ONLY BAD THING","Adult"
"age 10+","I am going to be honest from the start...Yes, just like many of you out there I bet your worried about the chat filters..Honestly, I was too! At the end of the day it depends what you feel fit for your children...First of all I recommend you make your child give their real age becase there is a chat filter that lets innappropiate words get blocked out.Secondly, it helps them play games that are for THEIR AGE! Your children can also friend people and they can chat with them etc.etc A good thing I know roblox does is that they don't let kids delete their messages,which really helps me keep track of what my child sends to other players. Another thing I made my kids do is friend people they only know in real life. I feel its very important that parents know what their kids play online that is why I am typing this review for all those people who have kids! I reccomend you change your child's accounts' privacy settings so you can disable the chat options...but do know that people around them can still chat..","Adult"
"age 7+","My 6 year old son loves the game","Adult"
"age 6+","My child loves the game a lot and I also think it is amazing. There are a few problems with stuff like chat and friends but that can all be blocked with restrictions. There are some trolls out there and the game can be quite addicting and result in temper problems. Otherwise, love it.","Adult"
"age 9+","yeah “powering imagination”","Adult"
"age 7+","its great this is literally my childhood I'm sorry for parents that think because people are mean in the chat the game is bad well there is an alternative like TURNING OFF CHAT IN SETTINGS also just avoid sketchy role play games if you don't want inappropriate content and as for blood i don't recommend horror games. And violence is in every video game so forget no violence. Also in the description of the game it shows what to expect.","Adult"
"age 4+","This game is awesome for kids and my child.","Adult"
"age 2+","It is the best, I highly recommend downloading it for your child. They will love it","Adult"
"age 17+","Fortnite is an evil, cruelel, bloody mess. My grandson has been playing this game for a year now and he has turned from a sweetheart to a MONSTER. This game is an outragous scam that is easy to get addicted to. My grandon has been asking for this V MONEY for his 10th birthday and I am now 2000 moneys in debt. He has not shut up about killing girls in this game and how he is always winning, this game rewards communism as well as shooting people in the head with better guns and corruptness. I am glad to have come across the sight so I can send a messege to fellow parents... FORTNITE WILL CORRUPT YOUR CHILD. The creators of this monstrosity should feel terrible about this creation and delete this scum from society. I HAVE LOST MY GRANDSON TO THIS MISTAKE DO NOT LET IT HAPPEN TO YOURS.","Adult"
"age 18+","I am absolutely DISGUSTED with Roblox right now &gt;:( I cannot even BEGIN to describe my anger! Here are all the things wrong with Roblox:
1. You can talk with people
2. You can customize your avatar
3. You can make your own game
Basically, everything!! ROBLOX IS ABSOLUTELY TERRIBLE &gt;:(","Adult"
"age 18+","my sister watches roblox horror movies all the time its addictive and you can say you are adopted 0/10","Adult"
"age 8+","IF your 8 y.o. is mature then, WITH SUPERVISION AND EXTREMELY CLEAR RULES, GUIDELINES &amp; BOUNDARIES, as well as making the consequences for not abiding by them crystal clear, then I feel like there are a lot of good things about the game! I have to admit, prior to the pandemic, I had never, personally, spent time researching the games in Roblox, but instead allowed the ""naysayers"" to influence my decision not to allow my 8 y.o. dtr to play. In fact, as a general rule, I avoided ""screens"" like the plague and had never so much as talked to my daughter about online ""etiquette"", let alone ""online safety"", i.e., how to spot ""grooming"" behavior, which, as you probably already know, is a term used to refer to predators who say &amp; do certain things to gain the trust of our kiddos! However, that all changed when the pandemic caused our world as we knew it came to a screeching halt this past March, i.e., no more attending traditional brick &amp; mortar school, playing with friends, going on vacation, to summer camps, etc., etc..!! I started doing a lot of research about gaming so ""I"" could learn ""internet safety"", i.e., what ""grooming"" looked like, how to report it, etc., etc.. After hours of research, I had educated myself by not only reading &amp; learning from experts, but also by creating a Roblox account for myself so I could actually play the games the kids my dtr's age were playing. EDUCATING my child about INTERNET SAFETY &amp; ETIQUETTE, PLAYING THE GAME MYSELF, as well as implementing the following the RULES (see below), allowed me to feel felt confident that my daughter could now safely play on the ""virtual playground"".
Talking &amp; video chatting with friends on ""Messenger Kids"" while playing Roblox (Adopt Me) is NOT a substitute for ""in person"" play, but it's a ""port in the storm"" and within moderation, has prevented my daughter from being too terribly affected by the pandemic! I was always the one who said ""technology, screens, etc., is a curse for our youth""; However, after opening myself up to the idea &amp; taking the time to educate myself, etc., I can now say ""technology is a blessing"" when used in MODERATION &amp; with RULES! However, without moderation &amp; crystal clear rules, that same technology went from a ""curse to a blessing"" will quickly return to a curse.
RULES IN OUR HOUSE
1) No friending anyone you don't know in real life.
2) No chatting in the game with anyone ! Messenger Kids is a safe, excellent alternative!
3). Ask if you want to play a new game within Roblox. This allows me to research that particular game as well as play it myself BEFORE the kiddos do.
4) No ""scamming"" (a big thing in the ""Adopt Me"" game).
5) Real life chores MUST be done to earn money Robux.
In summary, once you have done all of your homework, I love how these games foster creativity, teaches coding, as well as how to save &amp; manage money. My FAVORITE game for this is probably Bloxburg","Adult"
"age 7+","So yes people swear and say certain inappropriate things, but if u turn off chat it is very difficult to find inappropriate things. The only way if ur chat is disabled is by joining an inappropriate game your “friend” is playing. Bc it is very hard to find inappropriate games. I still play the game and have been since early 2016, and have never found a inappropriate game. There also are killing games, however u can just check ur kids recently played if u dint want them playing these. Also if u have the desktop version u can make games. U can buy “premiuM” the in game currency (used to be called robux and there are hackers. If u are smart u can pretty easily find someones ip adress and find theme. But its hard if there not on ur friends list.","Adult"
"age 8+","Roblox can be inappropriate for specific ages but if you monitor your kids it will be fine. when they turn 10, you may let them play whateer they'd like.","Adult"
"age 18+","I play this game with my kids. The games they like to play aren't educational at all and anyone can make a game and monetize it. Many times my kids will be playing a game that has pop-ups for purchases with Robux and my kids have made accidental purchases that are impossible to be refunded. Once I was playing the game ""Adopt Me"", which is very popular, and one ""kid"" was trying to lure others to their house to ""do it"". I reported it and sent a separate report, but I don't know if the person was investigated at all. In the same game, players are constantly scamming eachother out of pets and other items that are purchased with Robux. In another game, a player was bullying me after being in the game for just a few minutes. I reported that player, too, but the players are often cruel to eachother in chat and I'm sure most parents don't even know they can turn that feature off for their kids. Players can also friend eachother without any approval from parents and then message eachother in game. This is unacceptable. There is no way to protect our kids properly in this game and it needs a huge overhaul to be safe. Many games are violent and include players killing eachother with various weapons or monsters chasing them to kill them.","Adult"
"age 7+","This game is best for kids. It has a wide selection of games to choose from and can keep in touch with old friends and family members. This game might change in behaviors and grades but if Your kid does anything else on the internet you should look into that aswell. Albert/flamingo is a youtuber I do not think he wants kids killing their animals and ""sacrificing them to satin."" He is doing this as entertainment and a joke. Not saying it is funny but, just clarifying that it is a simple joke. Also when somebody in roblox knows your kids real name that usually means they somewhat told them their relevant name. Roblox does not promote online dating and other S3x related stuff. When someone is cursing in the chat just close it or leave the game. That only takes 3 seconds to do. No sweat. I think Roblox is an AWESOME platform and has a great system.","Adult"
"age 11+","I didn't realize how addicting this game is to my 11 year old daughter. Before the pandemic she only played it once or twice on her friend's computer. Since the lockdown she really got into it as that's all her friends talked about. She is a good student at school and has quite a bit after school activities. However playing Roblox has really changed her behavior. She got super addicted to it like all of her friends. She couldn't focus on her class or anything else she had to do anymore. When we take away her computer she would sneak around at night to play it. When we changed her account password she would play on her friends account. We don't dismiss the educational value aspect of the games but this app seems to take over young kids mind. My child became so argumentative and sassy when we took away her access to her Roblox account. Also some of the activities on Roblox are completely time suckers. It doesn't do anything but keep the kids mind hypnotized. I highly recommend parents keep a watchful eye on the duration of time your kids spend on playing the games and the type of games they play with friends and their communications with each other. From our experience and what we heard from many friends about their children spending more than one or two hours a day on Roblox doesn't do good but damage to the children. We ended up banning our daughter from accessing the site for two weeks. She finally bounced back to the delightful child she was before.","Adult"
"age 16+","My son was a victim of a hack. My PayPal account was hacked and the source was Roblox.
Kids are able to buy items (ie. clothes, halo’s, wings, accessories etc) to change their avatar appearance). The kids long to have the latest looks, some items are ‘limited’ editions and the rarer it is the higher it’s trading value becomes. The kids become addicted to this. It’s akin to hitting the reward centre of the brain in gambling.
I received PayPal notifications of four lots of £92.99 debited in three minutes. I managed to get my password change and stopped it luckily. My son, meanwhile, had his Roblox password changed, and session disconnected so he couldn’t change it himself. He had to raise a support request for Roblox to change his password to allow him to re-gain access to his Roblox account.
Because we notified them to the account being compromised, Roblox them shut down my son’s account. Their response is that, because of the compromise they will not reopen or discuss the account any further. They refer to their terms and conditions. This also states a mediation route is possible, but they are not providing information of this either.
As well as being a victim of the initial financial crime, my son now has no access to any existing Roblox funds he may still have In his account. His Roblox service is terminated with no further redress to whether Roblox should do this or not.
I’m writing this so that parents are aware of this risk. If you buy your child Robux, your purchasing account is at risk. If the child’s Roblox account is hacked, any money that you have spent in the account will also be lost. My son is devastated as he has traded up and up, and some items he says are very rare.
This response from Roblox is victim blaming. My son became very emotional having just been denied everything he has built up. He is young, and had I been aware I would have not allowed this risk.
Please also read the Apple App Store reviews, as many mention hacking risks. I would be interested to know how many more children know about this. They may not have told their adult purchasers. Please post if you can enlighten others. Any help would be appreciated.","Parent"
"age 2+","WHY WOULD THIS GAME MAKE TAGS HALF OF EVERYTHING YOU SAY GOES TO TAGS (unless you have safe chat) why is safe chat even a thing half of it is people (OD) online daters taking children’s info with apps such as (snap chat, discord, or iMessage get your child a android this game SUCKS I RAGE SO MUCH and people are so very mean (cyber bullying) I’ve cried many times bc I’m a cry baby :)","Adult"
"age 10+","This game is appropriate for 10+. Not very violent but sometimes there may be toxic language in the chat but it is censored with a hashtag.","Adult"
"age 7+","Roblox is super fun for kids ages 7 plus. Here is the thing with all these reviews complaining about roblox. As with anything, you must be responsible and talk to your kids about what is okay and what is not. If they can follow your rules Roblox will be a great fun experience. If your just letting your kids do whatever they want on roblox without talking to them about it then yes they can find some questionable things. Parents know what your kids do online and kids follow the rules. Very simple. Roblox is very fun!","Adult"
"age 8+","Okay... so I’ve been playing a lot of games in my life and Roblox is one of them I have played it for years and I love the game it has a great community great games yet there are some games and people who go out of there way to make nude and inappropriate games such as Condo games those games are hard to find and require a lot of digging and they might get banned so Roblox is kid safe to most extent and also Arsenal and Phantom Forces are games that are kind of E10+ sure Phantom Forces has Blood and Arsenal has violence the games are mostly kid friendly","Adult"
"age 10+","I think ROBLOX is i fun game. I don't recommend games like island life or meep city if your under 13. Don't give away any information to people. Also if your buying rubox, use paypal or roblox gift codes. Not visa cause i Used visa once and the next day someone in another state got my information and spent my money. Pretty good game i think.","Adult"
"age 4+","I started when I was around 4/2 and I loved it!I have been playing for very long but now im 10 I have started playing other games to including Fortnite,And Call of duty.You dont have to spend money but you can if you choose.I like to play Jailbreak,Skyblox,And most tycoons and sims.There is a chat feature that will block numbers and other thing that could give away personal info.When you sign up you can put your birthday and if your over 13 it gives you some more freedom in the chat.Also for parents you can go to settings and turn off chat you can also make a 2Fa code and make a pin so only the people that know the pin can change settings.There is some times a swear word that passes through but no often you can block players so you cant join them and they cant join you.I think roblox is good and those parents that say it horrible haven't even checked to see if they can turn on a safety setting so its there fault. I recommend 4 and up you can play if your younger but I think you should have somebody over 16.","Adult"
"age 7+","My 9 and 12 year old daughters love this game. They started playing last year but since quarantine began in March they have been playing a little every day. We have never paid any $ and they have the chat feature turned off so they don't talk to others playing that they don't know in real life. They do have friends from real life that they are ""friends"" with on Roblox. They are able to talk to them on a secure chat box while they are all playing the games from their own homes. This has been a wonderful way for them to socialize while school/activities have been shut down. They even have a few friends in other states that have moved away that they play with. It's a great way to keep in touch. Some of their favorite games are Royal High, Shred, Expedition to Antarctica, Mad City, Work at a Pizza Place, and Troll Obby. Overall, Roblox seems like a great game. As long as public chat is turned off, kids are told that no money will be spent, and parents monitor which games kids choose to play (letting them know if they're not allowed on any with guns, etc.) then Roblox is a fun, educational, and wonderful way for kids to learn.","Adult"
"age 5+","Great game. If you want to disable chat just go. to settings.","Adult"
"age 9+","My daughter played this game when she was 10 until she was 12 then decides she was to old for it. At first I thought the idea was scary but my daughter begged. So I did some research and found parents complaining about online dating and sex rooms. I also found people saying that there was a safe way to play it so me and my daughter gave it a trial. We set up her account together and it was an under 13 account so to my surprise it actually blocked the games that were for over 13s. I also set up the parental controls and put in the pin also blocked that chats so she could only play with friends I also linked my account. After that she started to dress up her character And started to play royals high which a game were you pretend to be a princess and meepcity were you take care of an animal called a meep (she also played mad city a super hero game fashion frenzy a fashion game etc) she would also code and I was honestly impressed with roblox she would play with her friends and I would play with her occasionally. Now she’s played it for 2 years and she doesn’t play anymore but as a parent I was concerned at first but after you added parental controls it’s all fun and games! The parental controls are STRONG trust me
Ps. Your child will not get obsessed if you set time limits","Adult"
"age 2+","age 7+
let your kids play it but make sure they dont play too much and turn of the chat","Adult"
"age 16+","I found my son playing the game spending a lot of time on it. I did not know that these sicks can reach out to him on his cell phone while he thinks he playing with animals this sicko on the other side not so much very inappropriate wording he is no longer able to play the game, it is not good for children at all and put them in situation they are no equipped to understand.","Adult"
"age 18+","Roblox is like Steam,Steam is an app where you play other games that other people make and big companies Roblox is like Steam you can play other games and make your own A lot of people hate Roblox because they think is all about playing little kids games,no your wrong not every game on Roblox is for kids get a life and test the full site and games before ready.","Adult"
"age 7+","I think roblox is great, If you adults don't like some of the games just don't let your kid play it! I mean that game on it and they will be just fine.","Adult"
"age 2+","Roblox is a great way for your child to interact with the outside world and learn how to make games. Roblox is a game platform where millions of players around the world share their ideas and expand. Roblox can also teach your kids how to make and code games. Tons of developers from Roblox has created big games on Roblox like Jailbreak, Adopt Me, Skyblock, Piggy, and more! Kids can also customize their avatars to look like anything they want to be. Roblox also sell in-game currency called ""Robux."" Your kids can't buy Robux themselves because it requires a credit card and a verification code, so your info is completely safe. Get your kids to download it, and have fun! :&gt;","Adult"
"age 8+","My son has been playing roblox for 2 years and has been good since.
It is kind of addictive but my son is not addicted anymore.
There is games like plugwalks or scented con which have sexual content but the games get deleted very fast. If your son sees naked lego characters tell him to leave the game and report it. Also you can put account restrictons for them to not play scented con also you can turn off chat in settings! There are no swearing because it can tag it and also roblox is a moneymaking maschine but the prices are good!","Adult"
"age 9+","I read this site before I let my kids play it. I thought by playing age appropriate games and blocking chat would protect them. Nope. Today my 7 year old brought me the iPad with a Guess the Drawing game on (it has a yellow pencil icon with Draw it in the game choices and it’s audience listed is everyone). It started with a smile drawing then to a giraffe then to a eyebrow then a suspicious drawing to me but not my daughter started to appear. I’m really sick thinking about all the other innocent kids in there without their parents not seeing what I saw to intervene. My daughter had no idea that it was a half drawn penis when I took over the iPad completely. I’m not sure if young kids read these reviews so I don’t want to say too much but let’s just say it was X rated. I am not aware of other drawing games if you do please comment. I know you can put up signs in your house (that you can type a message on)or whatever structure that’s yours. I educated her &amp; my 9 yo on not going into others houses because they are stranger just like you wouldn’t do that in real life (unbelievable that I have to say this on a children’s game)but if you know the person then it’s ok. Not to say they wouldn’t write something bad on their wall too but there is less of a chance of this happening with my children’s 7 yo &amp; 9 yo friends. I need to see if the signs hashtag out bad words. I’ll try this out tonight when my daughter is asleep &amp; see what happens. I’ll just need to make sure I know how to take the sign Down after I do it. It may not know how to hashtags out descriptions of bad things without using bad words. Probably the only way to truly control this is to only let them play when you are watching. I have told them when they start a new game I need to see them play it first. If older kids are given an opportunity to draw or chat in a sneaky way to get around the blocking software or whatever they will do it and now I’ve seen it happen first hand. I have the pictures to prove it and the name of the player. Immediately after all those disgusting drawings someone else had their turn and drew a sweet little teddy bear. Probably another innocent 7 yo like my little girl. Makes me sick. Don’t worry...I reported this person to the game and looked him up and reported him. They will only eject him from Roblox if there are multiple reports. I pray there are.","Parent of a 7 and 9-year-old"
"age 7+","I think it's a good game it can get addicting but it is very fun you can build it blocks out inappropriate words and I feel like anyone can play it!","Adult"
"age 3+","I recommend 3+ because 1 and 2 year olds might not be able to control the character or customise anything (If I offend your child very sorry).","Adult"
"age 17+","We had to file a report with our Police Department . A 63 year old man offered to meet my 12 yr old at a Walmart . Aisle in the store and all . I would have gone to jail for hurting him . He had a kids username and all.
We have deleted all Roblox .","Adult"
"age 8+","For real concerned parents, look over to what the kids have to say. This wall is full of crazy parents who don't even bother to look at the game. I have 2 kids who have played this for years and the many times I've checked up on them, nothing was ever wrong. Seriously. The things said by these ""Adults"" are downright unforgivable. UNFORGIVABLE. I'm genuinely angry by the things said in the adult's section. Look in the kids section for a real review.","Adult"
"age 6+","Roblox is a fun multiplayer game. There are educational games and games that can introduce people to certain Job titles. Roblox is also a great place to play with friends and family. People complain about the shooting games and horror games on the platform but, Roblox has a setting that can stop your child from playing games like that. Also, if you don't want people communicating with your child then you can remove the option to chat in game. Just make sure to monitor what games your kid plays because there are some games that can cause your Roblox account to be deleted. For example, some games claim to give the player free pets in a game called ""Adopt Me!"" and some games say that they can give you free robux. However, you can prevent your child from playing these games by telling them to watch out for games that claim to give you free items. Overall, Roblox is an amazing platform that gets better every week!","Adult"
"age 2+","I was already a roblox gamer, and that i think parents should learn more about the internet.
""Parents dosent know anything about the internet""
-kreekcraft :3
Also you need to report to get others banned,because roblox wont look though the chat then.
:3
P.S. if you think that some roblox games are ""demon games(lol)"" then just tell your kids to not play it! its common sense! i thought this web supposed to be common sense??
the kids all swear too :/","Adult"
"age 2+","Yesyesyesyesyes","Adult"
"age 5+","Ok so, roblox is a fairly fun game. It lets you interact with everyone online. It is fun for all ages, so I think young children should try it to have fun. Now, yes parents should be moderating every game that your child plays.
Solutions to problems parents might have.
1. If someone is sending you bad things, disable chat in settings or block the user.
2. If you run into someone trying to online date, block them or avoid them.
3. If you are running into someone saying free robux, Don't fall for it. Educate your children about scams online.
4. If someone is breaking the Roblox TOS(Terms of Service) do not attack roblox or private message them on facebook or something, avoid the person or report them.
Thanks for reading.","Adult"
"age 18+","An absolutely horrible game, after only 3 weeks of playing this game my child was having extreme Tantrums that resulted in her having to be taken do the mental health ward. I explained to them she's been playing Roblox and not only did the nurse but the unit social worker we're aware of Roblox and said this is the worst game they have ever seen for children. I have removed this game for my child it has been 4 weeks and for about three of those weeks I have had zero issues. I have never had an issue with my child until she played Roblox. Any parents that say this is a good game for children are completely naive and I suggest you guys Google and read other reviews .this game is extremely sexually explicit and not only is it sexual it is a open chat room. I had all the parental control settings set among allowing my child to register and that did not even help her safety whatsoever. She had been propositioned by men in the chat rooms and brought into game rooms where large orgies were taking place. I absolutely HATE this game and I wish I could actually put the harm it does to children on the creator.
DO NOT ALLOW YOUR CHILDREN TO PLAY ROBLOX EVER!!
and to top it off, I asked the admin of the game to remove her account and explained the reasons why &amp; he was stating his concern for her loss of achievements if I were to remove her profile.
So you can't even delete their profile you have to ask permission , which ultimately shows their level of concern","Adult"
"age 8+","Against all odds that it is too bad, like some idiots in my social class think that I won't waste a single dollar on another game can eat their hats. Roblox is NOT a game, but a game engine. Players make their own games and make lots of friends. More proper details is that talented designers and coders can go to make a very realistic a high-end game like 'Phantom Forces' or 'Blackhawk rescue mission 5'. But for kids or low-end devices, they are welcome too! An old Doomspire Brickbattle or the very funny 'Fart attack'. Everything as possible on Roblox.","Adult"
"age 2+","Obviamente,este juego es seguro,ya hasta la compañía se ha cansado de sus malditas quejas,miren,no se puede decir malas palabras fácilmente,puedes editar la cuanta de tu hijo que hagas que tenga 12 años o menos,además de que el contenido por usuarios no es malo,sino que algo llamado ""bot"",cosa que está dejando de ser cosa de preocupación.Si quiere que su hijo sea prevenido de estas estupideces que dice tanto la gente,enséñele a su hijo TODO lo que está mal,roblox está sobresaturado de todos ustedes padres irresponsables,common sense significa ""sentido común"" y por lo que veo,ustedes no lo usan y creen en rumores falsos.","Adult"
"age 12+","Roblox allows fraudulent content to scam children of their money and then denies all responsibility. My daughter spent 250 Robluxs on content within the site promising her a rare pet Shadow Dragon for use within the Adopt Me game. She never received it and was very upset. I reported the content and emailed Roblox asking for a refund. They told me to contact a game developer. I sent the developer of Adopt me games a screenshot of her purchase and the game developer told me the content my daughter bought from a fraudulent developer and to report it to Roblox and ask them for a refund. I opened a second ticket with screen shoots of developer of Adopt me games response and of the item/seller in which Roblux customer support did nothing. A third ticket was opened when the store and the seller was deleted and Roblox told us to ""contact the developer"" and hid behind their terms of service. The latest ticket was handled by a senior customer support tech who gave us the same responses after a lengthy ""review"".","Adult"
"age 6+","There are many games which lots of players, they even can create their own game! But there are also innapropriate and scam games. but roblox is constantly deleting those! There are lots of types of games, and probably one your kid will love!","Adult"
"age 6+","Yes it is good for 6 years and up
YEET!","Adult"
"age 18+","I saw my son playing a game named murder mystery 2 none sense of knife skins and big epik voilence and i throw all his electronics out of the roof top and never to be seen again","Adult"
"age 18+","THIS TRSAH NO KISDS SHPOULD PLAY NO GOOD. NO. CHASE SNAKE CHASED SON AND HE GOT BITTEN. NOEW HE DOESNT REMEmBER NAME. I WILL SUE THIS HORRBILE THINGON DEVICE THAT IS ALSO HORRIBLAY.","Adult"
"age 9+","Its a really good game if you try to swear it censors it
And no inappropriate games
You can friend people
For example if you maybe friend your cousin that lives far away you could chat to them!","Adult"
"age 8+","Wonderful game, very safe. Make sure the account's birthday is under 13. You can check if your account by looking in the top right corner, where it will or will not say 13+. However, there are some games to avoid. There are roleplay games like Frappe, Bakiez, Soro's, Blend, ect. These are games where users go to interviews, and train. But these are filled with trollers. These are most likely to have people bypassing the chat filter. Another game to avoid is Bloxburg. It is a very fun game, but this will end up with lots of money spent, or in game currency called ""Robux"". A player can build their house, with Bloxburg currency, This can be made by working, or buying with Robux. It is tiring to get in game currency, and I about a year ago spent 100+ real dollars on it. It is much easier to buy money, and the in game money is very expensive. Some positive games to try are Royal High, which you can be a prince/princess. There are also games called obbies, which is where the user jumps over obstacles. There are guns in certain games, but 0 blood. The player's avatar will have their blocks apart, and will respawn in 10 seconds if they 'die'. Another positive game is Adopt me, where people roleplay. I personally am not a fan, but it is aimed to younger players. Games to avoid are ones that say free robux. There is many how to's on youtube kids, and overall it is a very positive game with a positive enviroment. If the user swears in chat it will appear in hashtags, and it has a very strict filter. Users who are 13+ can say some more words, but usually just 'damn' and numbers. Overall, I love this game, and I feel it is perfect for all ages. I hope my review is not biased,","Adult"
"age 16+","This game is atrocious twice now we have put money into my daughter's account and then she gets locked out. We put in her username/password and it claims ""username/password invalid"" after the first time we just assumed okay maybe it was just a hacker let's create a new username and more difficult password. The second time we put money on her account as she asked for for her birthday for the same exact thing to happen not even 12 hours after money was put into her account when we clicked forgot password they never send an email with any information about password reset like they should. Before anyone says anything yes we did validate an email on the account while it was active and yes we made sure the password was not given to anyone. We are furious and have reached out to the company multiple times with no response. Please parents don't waste your money on this, it's not worth it.","Adult"
"age 10+","I just watched a video of Confederate flags allowed on the game...a lynching area for black purple with a black man hanging...players walking around in kkk outfits...are you serious?","Adult"
